-0.897978   4.841762 
-1.340559   5.179559 
-2.268807   4.389885 
-2.696218   4.226276 
-3.450948   3.475811 
-4.236292   3.244535 
-4.418813   2.323909 
-4.890442   1.554486 
-5.134533   0.953035 
-5.249919   0.201284 
-4.723776   -0.793862 
-4.209358   -1.573139 
-4.025996   -2.082073 
-3.619450   -3.231333 
-3.301223   -3.343702 
-2.733651   -3.934417 
-1.980267   -4.707533 
-1.509311   -4.423798 
-0.656910   -4.803132 
-0.015679   -4.733100 
-2.201293   0.043724 
-1.504441   -0.047719 
-0.846083   -0.440675 
0.252540   -1.476730 
0.138510   -1.907146 
1.043146   -1.728766 
1.436918   -3.075357 
1.705305   -3.338608 
2.025281   -4.242385 
2.383856   -5.071419 
1.992835   -5.794884 
1.865663   -7.484041 
1.577846   -7.363561 
0.931256   -7.803510 
0.531066   -8.348501 
-0.162768   -8.916133 
-0.847872   -9.654042 
-1.923599   -9.826680 
-2.727069   -9.852024 
-2.686467   -9.818872 
